Source,Target,Type,Id,Label,Weight
Drogo,Jorah-Mormont,Undirected,1269,,28
Eddard-Stark,Wyman-Manderly,Undirected,1355,,4
Eddard-Stark,Theon-Greyjoy,Undirected,1341,,31
Eddard-Stark,Stannis-Baratheon,Undirected,1339,,32
Eddard-Stark,Sansa-Stark,Undirected,1338,,43
Eddard-Stark,Sandor-Clegane,Undirected,1337,,14
Eddard-Stark,Roose-Bolton,Undirected,1336,,5
Eddard-Stark,Rodrik-Cassel,Undirected,1335,,7
Eddard-Stark,Robert-Baratheon,Undirected,1334,,334
Eddard-Stark,Rhaegar-Targaryen,Undirected,1330,,10
Eddard-Stark,Renly-Baratheon,Undirected,1329,,38
Eddard-Stark,Ramsay-Snow,Undirected,1327,,4
Eddard-Stark,Pycelle,Undirected,1326,,36
Eddard-Stark,Petyr-Baelish,Undirected,1324,,85
Eddard-Stark,Lysa-Arryn,Undirected,1319,,12
Eddard-Stark,Jory-Cassel,Undirected,1314,,32
Eddard-Stark,Jon-Snow,Undirected,1313,,65
Eddard-Stark,Jon-Arryn,Undirected,1312,,51
Eddard-Stark,Janos-Slynt,Undirected,1310,,11
Eddard-Stark,Gregor-Clegane,Undirected,1303,,13
Eddard-Stark,Gendry,Undirected,1301,,3
Eddard-Stark,Edmure-Tully,Undirected,1299,,3
Davos-Seaworth,Eddard-Stark,Undirected,1166,,4
Bran-Stark,Eddard-Stark,Undirected,636,,34
Barristan-Selmy,Eddard-Stark,Undirected,476,,28
Balon-Greyjoy,Eddard-Stark,Undirected,439,,7
Arya-Stark,Eddard-Stark,Undirected,311,,46
Aerys-II-Targaryen,Eddard-Stark,Undirected,93,,15
Edmure-Tully,Lysa-Arryn,Undirected,1377,,5
Gendry,Yoren,Undirected,1500,,8
Gendry,Sandor-Clegane,Undirected,1495,,5
Gendry,Lem,Undirected,1491,,9
Gregor-Clegane,Sandor-Clegane,Undirected,1558,,31
Gregor-Clegane,Pycelle,Undirected,1553,,6
Gregor-Clegane,Petyr-Baelish,Undirected,1551,,3
Doran-Martell,Gregor-Clegane,Undirected,1238,,11
Balon-Swann,Gregor-Clegane,Undirected,450,,3
Jaime-Lannister,Walder-Frey,Undirected,1863,,5
Jaime-Lannister,Varys,Undirected,1862,,19
Jaime-Lannister,Tywin-Lannister,Undirected,1859,,51
Jaime-Lannister,Tyrion-Lannister,Undirected,1856,,113
Jaime-Lannister,Tommen-Baratheon,Undirected,1855,,36
Jaime-Lannister,Theon-Greyjoy,Undirected,1853,,4
Jaime-Lannister,Stannis-Baratheon,Undirected,1850,,12
Jaime-Lannister,Sansa-Stark,Undirected,1845,,23
Jaime-Lannister,Sandor-Clegane,Undirected,1844,,21
Jaime-Lannister,Roose-Bolton,Undirected,1841,,17
Jaime-Lannister,Rodrik-Cassel,Undirected,1839,,3
Jaime-Lannister,Robert-Baratheon,Undirected,1837,,69
Jaime-Lannister,Robb-Stark,Undirected,1836,,41
Jaime-Lannister,Rhaegar-Targaryen,Undirected,1834,,7
Jaime-Lannister,Renly-Baratheon,Undirected,1832,,28
Jaime-Lannister,Pycelle,Undirected,1829,,10
Jaime-Lannister,Petyr-Baelish,Undirected,1827,,11
Jaime-Lannister,Oberyn-Martell,Undirected,1824,,3
Jaime-Lannister,Margaery-Tyrell,Undirected,1820,,10
Jaime-Lannister,Mace-Tyrell,Undirected,1818,,5
Jaime-Lannister,Lysa-Arryn,Undirected,1817,,9
Jaime-Lannister,Lem,Undirected,1813,,6
Jaime-Lannister,Jory-Cassel,Undirected,1807,,4
Jaime-Lannister,Jon-Snow,Undirected,1805,,3
Jaime-Lannister,Jon-Arryn,Undirected,1804,,5
Jaime-Lannister,Joffrey-Baratheon,Undirected,1803,,45
Gregor-Clegane,Jaime-Lannister,Undirected,1545,,15
Edmure-Tully,Jaime-Lannister,Undirected,1374,,35
Eddard-Stark,Jaime-Lannister,Undirected,1309,,33
Catelyn-Stark,Jaime-Lannister,Undirected,814,,59
Brienne-of-Tarth,Jaime-Lannister,Undirected,707,,111
Barristan-Selmy,Jaime-Lannister,Undirected,484,,8
Balon-Swann,Jaime-Lannister,Undirected,451,,8
Arya-Stark,Jaime-Lannister,Undirected,321,,13
Aerys-II-Targaryen,Jaime-Lannister,Undirected,96,,37
